"curso_academico","cod_universidad","des_universidad","cod_tipo_estudio","des_tipo_estudio","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_titulacion","des_titulacion","cod_rama","des_rama","cod_interuniversitario","des_interuniversitario","cod_rol_coordinacion","des_rol_coordinacion","cod_impartido","des_impartido","anio_inicio","cod_situacion_actual","des_situacion_actual","cod_grado_presencialidad","des_grado_presencialidad","cod_idioma_extranjero","des_idioma_extranjero","precio_credito_1","precio_credito_2","precio_credito_3","precio_credito_4","precio_credito_5","precio_tutela","num_creditos_necesarios","num_creditos_ofertados"
"2017-18","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027060","Facultad de Ciencias","2500264","Graduado o Graduada en Ciencias Ambientales por la Universidad Autónoma de Madrid","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,81","49,26","98,75","136,44",,,"240","342"
"2017-18","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027060","Facultad de Ciencias","2500265","Graduado o Graduada en Ciencias de la Alimentación por la Universidad Autónoma de Madrid","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,81","49,26","98,75","136,44",,,"240","285"
"2017-18","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027060","Facultad de Ciencias","2500266","Graduado o Graduada en Física por la Universidad Autónoma de Madrid","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,3","113,71",,,"240","294"
"2017-18","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027060","Facultad de Ciencias","2500267","Graduado o Graduada en Química por la Universidad Autónoma de Madrid","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,81","49,26","98,75","136,44",,,"240","288"
"2017-18","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28038513","Facultad de Psicología","2500268","Graduado o Graduada en Psicología por la Universidad Autónoma de Madrid","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,3","113,71",,,"240","384"
"2017-18","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027072","Facultad de Ciencias Económicas y Empresariales","2500269","Graduado o Graduada en Administración y Dirección de Empresas por la Universidad Autónoma de Madrid","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,3","113,71",,,"240","468"
"2017-18","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28051271","Facultad de Formación de Profesorado y de la Educación","2500270","Graduado o Graduada en Ciencias de la Actividad Física y del Deporte por la Universidad Autónoma de Madrid","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","26,81","49,26","98,75","136,44",,,"240","360"
"2017-18","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027072","Facultad de Ciencias Económicas y Empresariales","2500271","Graduado o Graduada en Turismo por la Universidad Autónoma de Madrid","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,3","113,71",,,"240","330"
"2017-18","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28048397","Escuela Politécnica Superior","2500272","Graduado o Graduada en Ingeniería Informática por la Universidad Autónoma de Madrid","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","25,18","46,41","92,86","128,57",,,"240","288"
"2017-18","023","Universidad Autónoma de Madrid","G","Grado","1","Centro","28027060","Facultad de Ciencias","2500273","Graduado o Graduada en Ingeniería Química por la Universidad Autónoma de Madrid","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","25,18","46,41","92,86","128,57",,,"240","276"
