id_muestra_titulacion,curso_academico,cod_universidad,des_universidad,URI_universidad,wikidata_universidad,des_tipo_estudio,des_tipo_unidad_responsable,des_unidad_responsable,wikidata_unidad_responsable,cod_unidad_responsable,cod_titulacion,des_titulacion,des_rama,des_interuniversitario,ind_rol_coordinacion,ind_impartido,anio_inicio,des_situacion_actual,des_grado_presencialidad,cod_idioma_extranjero,des_idioma_extranjero,precio_credito_1,precio_credito_2,precio_credito_3,precio_credito_4,precio_credito_5,precio_tutela,num_creditos_necesarios,num_creditos_ofertados
UCM-7f6d891ff0c2fba82e7bdabf298c30ca,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Geografia E Historia,,28027746,2501593,Grado En Arqueologia,Artes Y Humanidades,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,288
UCM-230cba8d78fb8b2d3d1d2a9ee86965b8,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Centro De Estudios Superiores Felipe Ii,,28049675,2502089,Grado En Gestion Informatica Empresarial,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,En Proceso De Extincion,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,25.18,46.41,92.86,128.57,,,240,258
UCM-f42b189459d7ecb4de31163b2a786d03,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Medicina,,28027035,2501595,Grado En Nutricion Humana Y Dietetica,Ciencias De La Salud,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,26.81,49.26,98.75,136.44,,,240,276
UCM-5847fcad7511ed645c9e9414029ee12d,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Bellas Artes,,28027126,2502084,Grado En Conservacion Y Restauracion Del Patrimonio Cultural,Artes Y Humanidades,No Es Interuniversitario,,true,2011,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,25.18,46.41,92.86,128.57,,,240,264
UCM-50af8c974bb5cdb8526d123843da60f9,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Facultad De Bellas Artes,,28027126,2502085,Grado En Diseno,Artes Y Humanidades,No Es Interuniversitario,,true,2011,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,300
UCM-69c01c3e7d82ef24b8393bda2eef9a1a,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,"Centro De Ensenanza Superior En Humanidades Y Ciencias De La Educacion ""don Bosco""",,28027229,2500913,Grado En Educacion Social,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,288
UCM-eecdf8078a91f988f2118dc217a27309,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,"Centro De Ensenanza Superior En Humanidades Y Ciencias De La Educacion ""don Bosco""",,28027229,2500912,Grado En Maestro En Educacion Primaria,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,366
UCM-d1995937fd07c51e6ef3645e9aaff5b9,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,"Centro De Ensenanza Superior En Humanidades Y Ciencias De La Educacion ""don Bosco""",,28027229,2500911,Grado En Maestro En Educacion Infantil,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,312
UCM-453238c547c71e1807a7e1246bb6700e,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Escuela Universitaria De Magisterio - Escuni,,28027205,2500911,Grado En Maestro En Educacion Infantil,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,384
UCM-0d32316252b19bd1329f5c5e342a5212,2017-18,010,Universidad Complutense De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-complutense-de-madrid,https://www.wikidata.org/wiki/Q219694,Grado,Centro,Escuela Universitaria De Magisterio - Escuni,,28027205,2500912,Grado En Maestro En Educacion Primaria,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2009,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.94,41.05,82.30,113.71,,,240,432
