id_muestra_titulacion,curso_academico,cod_universidad,des_universidad,URI_universidad,wikidata_universidad,des_tipo_estudio,des_tipo_unidad_responsable,des_unidad_responsable,wikidata_unidad_responsable,cod_unidad_responsable,cod_titulacion,des_titulacion,des_rama,des_interuniversitario,ind_rol_coordinacion,ind_impartido,anio_inicio,des_situacion_actual,des_grado_presencialidad,cod_idioma_extranjero,des_idioma_extranjero,precio_credito_1,precio_credito_2,precio_credito_3,precio_credito_4,precio_credito_5,precio_tutela,num_creditos_necesarios,num_creditos_ofertados
URJC-1e9af6df32909608dbafc151d740f15f,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Escuela Superior De Ciencias Experimentales Y Tecnologia,,28048361,7000194,Doble Grado En Ingenieria De La Energia-ing Organizacion Industrial,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2011,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,,,,,,,312,312
URJC-ceb51bd58677b1d2425b320d987dd404,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Escuela Superior De Ingenieria Informatica,,28051694,7000195,Doble Grado En Ingenieria Informatica E Ingenieria De Computadores,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,,,,,,,285,303
URJC-75ee96a82cf3e9b974dcbcc200851ef5,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Escuela Superior De Ingenieria Informatica,,28051694,7000196,Doble Grado En Ingenieria Informatica E Ingenieria Del Software,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,,,,,,,285,309
URJC-e30ede26c854cc7879fa65efbe60f63d,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Escuela Tecnica Superior De Ingenieria Informatica. Campus De Madrid,,28051840,7000197,Doble Grado En Ingenieria Informatica Y Administracion Y Direccion De Empresas,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Extinguido En El Curso De Referencia,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,,,,,,,366,366
URJC-edd8c7698d7ef27893ae7e6d1c2a211a,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Escuela Superior De Ingenieria Informatica,,28051694,7000197,Doble Grado En Ingenieria Informatica Y Administracion Y Direccion De Empresas,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,,,,,,,366,366
URJC-5d360bb68a9e3cb51f2949361ad66947,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Escuela Superior De Ingenieria Informatica,,28051694,7000198,Doble Grado En Ingenieria Informatica Y Matematicas,Ciencias,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,,,,,,,315,315
URJC-e372d3743fb3a20b5020771c2bab942c,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Escuela Superior De Ingenieria Informatica,,28051694,7000199,Doble Grado En Ingenieria Del Software Y Matematicas,Ciencias,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,,,,,,,315,315
URJC-9c4cc5efb19ee76ca39501eb2ec76df6,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Facultad De Ciencias De La Comunicacion,,28051581,7000200,Doble Grado En Comunicacion Audiovisual Y Administracion Y Direccion De Empresas,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,,,,,,,339,339
URJC-ecfa36c8200bda98009c160c30dfdfac,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Facultad De Ciencias De La Comunicacion,,28051581,7000201,Doble Grado En Publicidad Y Relaciones Publicas Y Administracion Y Direccion De Empresas,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,,,,,,,328.5,328.5
URJC-bcb7c93db8abd88cd9e7765db9c210fb,2018-19,056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,Grado,Centro,Escuela Tecnica Superior De Ingenieria De Telecomunicaciones,,28051591,7000202,Doble Grado En Ingenieria En Sistemas De Telecomunicacion Y Administracion Y Direccion De Empresas,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2010,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,,,,,,,351,351
