"curso_academico","cod_universidad","des_universidad","cod_departamento","des_departamento","cod_municipio","des_municipio","cod_campus","des_campus","cod_situacion_departamento","des_situacion_departamento","fecha_desde_situacion_departamento"
"2019-20","019","Universidad de Valladolid","55001255","Literatura Española y Teoría de la Literatura y Literatura Comparada","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001222","Derecho Civil","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001221","Cirugía, Oftalmología, Otorrinolaringología y Fisioterapia","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001217","Biología Celular, Histología  y Farmacología","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001245","Historia del Arte","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001240","Física de la Matería Condensada, Cristalografía y Mineralogía","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001239","Física Aplicada","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001228","Didáctica de la Lengua y la Literatura","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001254","Lengua Española","34120","PALENCIA","01902","Palencia","1","Activo","20121001"
"2019-20","019","Universidad de Valladolid","55001262","Producción Vegetal y Recursos Forestales","34120","PALENCIA","01902","Palencia","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001248","Ingeniería Agrícola y Forestal","34120","PALENCIA","01902","Palencia","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001261","Prehistoria, Arqueología, Antropología Social y Ciencias y Técnicas Historiográficas","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001249","Construcciones Arquitectónicas, Ingeniería del Terreno y Mecánica de medios Continuos y T.Estructura","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001246","Historia Moderna, Contemporánea y de América. Periodismo y Comunicación Audiovisual y Publicidad","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001242","Fundamentos del Análisis Económico e Historía e Instituciones Económicas","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001230","Economía Aplicada","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001271","Urbanismo y Representación de la Arquitectura","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001263","Psicología","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001259","Pedagogía","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001219","Ciencia de los Materiales e Ingeniería Metalúrgica, Expresión Gráfica en la Ingeniería, Ingeniería C","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001247","Informática (Arquitectura y Tecnología de Computadores, Ciencias de la Computación e Inteligencia Ar","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001238","Filosofía, Lógica y Filosofía de la Ciencia y T.e H.de Educación,Filos.Moral,Estética y T. de Artes","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
"2019-20","019","Universidad de Valladolid","55001236","Filología Francesa y Alemana","47186","VALLADOLID","01901","Valladolid","1","Activo","20040101"
