"IMPORTANTE","cod_universidad","des_universidad","curso_academico","cod_campus","des_campus","cod_centro","des_centro","cod_naturaleza_centro","des_naturaleza_centro","cod_tipo_estudio","des_tipo_estudio","cod_titulacion","des_titulacion","cod_comunidad_centro_sec","des_comunidad_centro_sec","cod_provincia_centro_sec","des_provincia_centro_sec","cod_municipio_centro_sec","des_municipio_centro_sec","lat_municipio_centro_sec","lon_municipio_centro_sec","cod_naturaleza_centro_sec","des_naturaleza_centro_sec","nota_admision","cod_pais_fin_estudio_acceso","des_pais_fin_estudio_acceso","lat_pais_fin_estudio_acceso","lon_pais_fin_estudio_acceso","cod_continente_fin_estudio_acceso","des_continente_fin_estudio_acceso","cod_agregacion_paises_fin_estudio_acceso","des_agregacion_paises_fin_estudio_acceso","cod_estudio_acceso","des_estudio_acceso","cod_especialidad_acceso","des_especialidad_acceso","des_tipo_especialidad_acceso","cod_ocupacion_estudiante","des_ocupacion_estudiante","anio_fin_estudio_acceso","cod_forma_admision","des_forma_admision","ind_accede_al_SUE_por_1a_vez","anio_acceso_SUE","ind_se_matricula_en_primero","ind_curso_adaptacion","anio_nacimiento","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","cod_pais_residencia","des_pais_residencia","lat_pais_residencia","lon_pais_residencia","cod_continente_residencia","des_continente_residencia","cod_agregacion_paises_residencia","des_agregacion_paises_residencia","cod_dedicacion","des_dedicacion","cod_genero","des_genero","cod_familia_numerosa","des_familia_numerosa","cod_nivel_estudios_madre","des_nivel_estudios_madre","cod_ocupacion_madre","des_ocupacion_madre","cod_nivel_estudios_padre","des_nivel_estudios_padre","cod_ocupacion_padre","des_ocupacion_padre"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501847","GRADO EN TURISMO","1","Andalucía","14","Córdoba","14021","CÓRDOBA","37.88473","-4.779152","2","Centro Privado","7,209","504","Marruecos","31.791702","-7.09262","002","África","015","África septentrional",,,,,,,,"2018","02","Estudiantes procedentes de sistemas miembros de la Unión Europea o de otros Estados con los que España haya suscrito Acuerdos Internacionales a este respecto que cumplan los requisitos exigidos en su respectivo país para el acceso a la universidad. ","SÍ","2019","NO","SÍ","2001","170","Colombia","4.570868","-74.297333","019","Américas","419","América Latina y el Caribe","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","5","Estudios Superiores","11","Jubilado","5","Estudios Superiores","03","Técnicos y profesionales de apoyo"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501847","GRADO EN TURISMO","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público",,"724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","08",,"0703","Humanidades y Ciencias Sociales","Bachillerato LOMCE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","2000","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","4","Estudios Secundarios",,,"4","Estudios Secundarios","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501847","GRADO EN TURISMO",,,,,,,,,"1","Centro Público",,"724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0102","Ciencias y tecnología","Bachillerato LOE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","1982","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","4","Estudios Secundarios","06","Trabajadores cualificados en la agricultura y en la pesca","4","Estudios Secundarios","07","Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los operadores de instalaciones y maquinaria"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501847","GRADO EN TURISMO","11","Extremadura","6","Badajoz","06015","BADAJOZ","38.8786","-6.970284","1","Centro Público","9,593","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","1993","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios",,,"4","Estudios Secundarios","04","Empleados de tipo contable y administrativo"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501847","GRADO EN TURISMO",,,,,,,,,"1","Centro Público","5,43","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2019","02","Estudiantes procedentes de sistemas miembros de la Unión Europea o de otros Estados con los que España haya suscrito Acuerdos Internacionales a este respecto que cumplan los requisitos exigidos en su respectivo país para el acceso a la universidad. ","SÍ","2019","SÍ","SÍ","1999","504","Marruecos","31.791702","-7.09262","002","África","015","África septentrional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","5","Estudios Superiores","05","Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios","3","Estudios Primarios",,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501847","GRADO EN TURISMO","1","Andalucía","21","Huelva","21044","LEPE","37.25432","-7.203348","1","Centro Público","11,171","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2018","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios",,,"4","Estudios Secundarios","06","Trabajadores cualificados en la agricultura y en la pesca"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501847","GRADO EN TURISMO","1","Andalucía","21","Huelva","21044","LEPE","37.25432","-7.203348","1","Centro Público","6,677","504","Marruecos","31.791702","-7.09262","002","África","015","África septentrional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2018","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","NO","SÍ","1997","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","4","Estudios Secundarios","04","Empleados de tipo contable y administrativo","5","Estudios Superiores","03","Técnicos y profesionales de apoyo"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501847","GRADO EN TURISMO",,,,,,,,,"2","Centro Privado","9,41","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2012","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","1999","504","Marruecos","31.791702","-7.09262","002","África","015","África septentrional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","4","Estudios Secundarios","04","Empleados de tipo contable y administrativo","5","Estudios Superiores","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501847","GRADO EN TURISMO","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","10,401","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional",,,,,,,,"2019","03","Mediante posesión de los títulos de Técnica/o Superior correspondientes a las enseñanzas de Formación Profesional y Enseñanzas Artísticas o de Técnica/o Deportiva/o Superior correspondientes a las enseñanzas Deportivas o títulos equivalentes","SÍ","2019","SÍ","SÍ","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios",,,"4","Estudios Secundarios","08","Operadores de instalaciones y maquinaria y montadores"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501847","GRADO EN TURISMO",,,,,,,,,"1","Centro Público","7,16","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","08",,"0703","Humanidades y Ciencias Sociales","Bachillerato LOMCE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","NO","SÍ","2001","250","Francia","46.227638","2.213749","150","Europa","155","Europa occidental","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","5","Estudios Superiores","01","Directores y gerentes","2","Sin Estudios","10","Parado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501847","GRADO EN TURISMO","1","Andalucía","29","Málaga","29069","MARBELLA","36.50994","-4.886352","1","Centro Público","5,091","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","01","Bachillerato LOE","0103","Humanidades y ciencias sociales","Bachillerato LOE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","SÍ","SÍ","1996","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","11","Jubilado","4","Estudios Secundarios","08","Operadores de instalaciones y maquinaria y montadores"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21052","NERVA","37.69511","-6.550632","1","Centro Público","9,23","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","08",,"0703","Humanidades y Ciencias Sociales","Bachillerato LOMCE",,,"2017","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","NO","SÍ","2001","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No",,,,,"4","Estudios Secundarios","04","Empleados de tipo contable y administrativo"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","10,015","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","02","Bachillerato LOGSE","0204","Humanidades y Ciencias Sociales","Bachillerato LOGSE",,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","NO","SÍ","1999","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","1","Analfabeto","09","Trabajadores no cualificados","2","Sin Estudios","10","Parado"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2019-20","04903","La merced","21005988","FACULTAD DE CIENCIAS EMPRESARIALES Y TURISMO","1","Público","G","Grado","2501841","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","1","Andalucía","21","Huelva","21041","HUELVA","37.2571","-6.949555","1","Centro Público","10,229","862","Venezuela (República Bolivariana de)","6.42375","-66.58973","019","Américas","419","América Latina y el Caribe",,,,,,,,"2019","01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2019","NO","SÍ","2001","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","11","Jubilado","5","Estudios Superiores","03","Técnicos y profesionales de apoyo"
