"curso_academico","cod_universidad","des_universidad","cod_departamento","des_departamento","cod_municipio","des_municipio","cod_campus","des_campus","cod_situacion_departamento","des_situacion_departamento","fecha_desde_situacion_departamento"
"2018-19","023","Universidad Autónoma de Madrid","55001548","Departamento de Educación Física, Deporte y Motricidad Humana","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001551","Departamento de Geología y Geoquímica","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001526","Departamento Interfacultativo de Psicología Evolutiva y de la Educación","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001527","Departamento de Psicología Básica","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001537","Departamento de Química Orgánica","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001539","Departamento de Derecho Público Y Filosofía Jurídica","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001555","Departamento de Tecnología Electrónica y de las Comunicaciones","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001481","Departamento de Física de Materiales","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001482","Departamento de Biología","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001486","Departamento de Física Aplicada","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001488","Departamento de Física Teórica","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001498","Departamento de Estructura Económica y Economía del Desarrollo","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001502","Departamento de Historia Moderna","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001525","Departamento de Psicología Biológica y de la Salud","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001529","Departamento de Psicología Social y Metodología","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001550","Departamento de Química Agrícola y Bromatología","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001553","Departamento de Organización de Empresas","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001489","Departamento de Matemáticas","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001491","Departamento de Química Física Aplicada","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001494","Departamento de Derecho Privado,Social y Económico","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001504","Departamento de Geografía","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001514","Departamento de Farmacología","28079","MADRID","02302","Mecidina","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001516","Departamento de Anatomía, Histología y Neurociencia","28079","MADRID","02302","Mecidina","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001517","Departamento de Bioquímica","28079","MADRID","02302","Mecidina","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001519","Departamento de Anatomía Patológica","28079","MADRID","02302","Mecidina","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001522","Departamento de Medicina","28079","MADRID","02302","Mecidina","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001523","Departamento de Psiquiatría","28079","MADRID","02302","Mecidina","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001538","Departamento de Química Inorgánica","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001483","Departamento de Biología Molecular","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001495","Departamento de Economía y Hacienda Pública","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
"2018-19","023","Universidad Autónoma de Madrid","55001533","Departamento de Filología Francesa","28079","MADRID","02301","Cantoblanco","1","Activo","20130601"
