"curso_academico","cod_universidad","des_universidad","cod_tipo_estudio","des_tipo_estudio","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_titulacion","des_titulacion","cod_rama","des_rama","cod_interuniversitario","des_interuniversitario","cod_rol_coordinacion","des_rol_coordinacion","cod_impartido","des_impartido","anio_inicio","cod_situacion_actual","des_situacion_actual","cod_grado_presencialidad","des_grado_presencialidad","cod_idioma_extranjero","des_idioma_extranjero","precio_credito_1","precio_credito_2","precio_credito_3","precio_credito_4","precio_credito_5","precio_tutela","num_creditos_necesarios","num_creditos_ofertados"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027710","Facultad de Filología","2502743","GRADO EN LITERATURA GENERAL Y COMPARADA","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2012","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","810"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027229","Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación ""Don Bosco""","2500688","GRADO EN PEDAGOGÍA","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","300"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28026985","Facultad de Ciencias Económicas y Empresariales","2502886","GRADO EN FINANZAS, BANCA Y SEGUROS","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2013","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","252"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28048828","Centro Universitario Villanueva","2500825","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","276"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027710","Facultad de Filología","2500980","GRADO EN TRADUCCIÓN E INTERPRETACIÓN","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","492"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28048828","Centro Universitario Villanueva","2500692","GRADO EN PSICOLOGÍA","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","21,94","41,05","82,30","113,71",,,"240","240"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28042899","Facultad de Informática","2503208","GRADO EN DESARROLLO DE VIDEOJUEGOS","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2015","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","25,18","46,41","92,86","128,57",,,"240","210"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28026985","Facultad de Ciencias Económicas y Empresariales","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero",,,,,,,"366","428"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027001","Facultad de Derecho","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero",,,,,,,"366","428"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027001","Facultad de Derecho","7000174","DOBLE GRADO DERECHO - RELACIONES LABORALES Y RECURSOS HUMANOS","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero",,,,,,,"360","402"
"2017-18","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027849","Facultad de Ciencias Matemáticas","7000175","DOBLE GRADO INGENIERÍA INFORMÁTICA - MATEMÁTICAS","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero",,,,,,,"360","510"
