id_muestra_titulacion,curso_academico,cod_universidad,des_universidad,URI_universidad,wikidata_universidad,des_tipo_estudio,des_tipo_unidad_responsable,des_unidad_responsable,wikidata_unidad_responsable,cod_unidad_responsable,cod_titulacion,des_titulacion,des_rama,des_interuniversitario,ind_rol_coordinacion,ind_impartido,anio_inicio,des_situacion_actual,des_grado_presencialidad,cod_idioma_extranjero,des_idioma_extranjero,precio_credito_1,precio_credito_2,precio_credito_3,precio_credito_4,precio_credito_5,precio_tutela,num_creditos_necesarios,num_creditos_ofertados
UC3M-d043e2d4f1ecba6abdc8edfb9f530a2a,2019-20,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,Grado,Centro,Facultad De Ciencias Sociales Y Juridicas. (getafe),,28041822,7700001,Grado Abierto Uc3m En Ciencias Sociales Y Humanidades,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2016,Activo,Estudio Presencial,2,"Existen Planes Separados, Uno De Ellos En Ingles",21.39,40.02,82.3,113.71,,,120,186
UC3M-d56788f7ddc1b44e2f0bedee4c38bd0a,2019-20,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,Grado,Centro,Escuela Politecnica Superior. (leganes),,28042292,7700002,Grado Abierto Uc3m En Ingenieria,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2016,Activo,Estudio Presencial,2,"Existen Planes Separados, Uno De Ellos En Ingles",24.55,45.25,92.86,128.57,,,120,998
UC3M-07f87717fa1b10ea39ce00e8a36f293c,2019-20,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,Grado,Centro,Facultad De Ciencias Sociales Y Juridicas (colmenarejo),,28050461,2500030,Grado En Administracion De Empresas,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.39,40.02,82.3,113.71,,,240,549
UC3M-45622aa9aae1f8ee3707e0b83719bd2d,2019-20,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,Grado,Centro,Facultad De Ciencias Sociales Y Juridicas. (getafe),,28041822,2500030,Grado En Administracion De Empresas,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,2,"Existen Planes Separados, Uno De Ellos En Ingles",21.39,40.02,82.3,113.71,,,240,549
UC3M-573deba68911a66b3b1324bf1cecd2f5,2019-20,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,Grado,Centro,Escuela Politecnica Superior. (leganes),,28042292,2503783,Grado En Ciencia E Ingenieria De Datos,Ingenieria Y Arquitectura,No Es Interuniversitario,,true,2018,Activo,Estudio Presencial,1,Se Oferta En Ingles,24.55,45.25,92.86,128.57,,,240,120
UC3M-80d108a4cf5f4f72c350e8a1eab46232,2019-20,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,Grado,Centro,Facultad De Ciencias Sociales Y Juridicas. (getafe),,28041822,2500024,Grado En Ciencias Politicas,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.39,40.02,82.3,113.71,,,240,276
UC3M-132609a4938990f5b7f966eec40486e3,2019-20,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,Grado,Centro,"Facultad De Humanidades, Comunicacion Y Documentacion. (getafe)",,28048385,2500025,Grado En Comunicacion Audiovisual,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,2,"Existen Planes Separados, Uno De Ellos En Ingles",21.39,40.02,82.3,113.71,,,240,357
UC3M-bfb1b8c011e4d2b103d0cd63188099f9,2019-20,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,Grado,Centro,Facultad De Ciencias Sociales Y Juridicas (colmenarejo),,28050461,2500026,Grado En Derecho,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.39,40.02,82.3,113.71,,,240,342
UC3M-2a196bd8a1f8023ed08190d9efc07808,2019-20,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,Grado,Centro,Facultad De Ciencias Sociales Y Juridicas. (getafe),,28041822,2500026,Grado En Derecho,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,0,No Se Oferta En Idioma Extranjero,21.39,40.02,82.3,113.71,,,240,342
UC3M-80da0a7a5ac45deaf8d9eaee2e37b504,2019-20,036,Universidad Carlos III De Madrid,http://www.semanticweb.org/universidata/resource/universidad/universidad-carlos-iii-de-madrid,https://www.wikidata.org/wiki/Q1247135,Grado,Centro,Facultad De Ciencias Sociales Y Juridicas. (getafe),,28041822,2500119,Grado En Economia,Ciencias Sociales Y Juridicas,No Es Interuniversitario,,true,2008,Activo,Estudio Presencial,2,"Existen Planes Separados, Uno De Ellos En Ingles",21.39,40.02,82.3,113.71,,,240,276
