curso_academico,cod_universidad,des_universidad,URI_universidad,wikidata_universidad,cod_departamento,des_departamento,wikidata_departamento,id_muestra_departamento,URI_muestra_departamento,cod_municipio,des_municipio,URI_municipio,wikidata_municipio,cod_campus,des_campus,des_situacion_departamento,fecha_desde_situacion_departamento
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001221,"Cirugia, Oftalmologia, Otorrinolaringologia Y Fisioterapia",https://www.wikidata.org/wiki/Q60778109,eda725bc4b8e21cc5bed96fc94e64801,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-eda725bc4b8e21cc5bed96fc94e64801,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55003329,"Algebra, Analisis Matematico, Geometria Y Topologia",https://www.wikidata.org/wiki/Q60777803,96b993dfae460f79aadd2486d80bf334,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-96b993dfae460f79aadd2486d80bf334,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2012-10-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001261,"Prehistoria, Arqueologia, Antropologia Social Y Ciencias Y Tecnicas Historiograficas",https://www.wikidata.org/wiki/Q60780123,4c369d239779d344c0ea0ad7161101e4,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-4c369d239779d344c0ea0ad7161101e4,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001240,"Fisica De La Materia Condensada, Cristalografia Y Mineralogia",https://www.wikidata.org/wiki/Q60779234,c52d6aa12929e362e6c27c3110a8ffba,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-c52d6aa12929e362e6c27c3110a8ffba,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001232,Electricidad Y Electronica,https://www.wikidata.org/wiki/Q60778750,4ff8c02a668c8c9e12123f9a9aef6af7,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-4ff8c02a668c8c9e12123f9a9aef6af7,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001217,"Biologia Celular, Histologia  Y Farmacologia",https://www.wikidata.org/wiki/Q60777873,5894dd352f8478e2a92b4ab2510ba946,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-5894dd352f8478e2a92b4ab2510ba946,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001254,Lengua Espanola,https://www.wikidata.org/wiki/Q60779769,1c45da5bc44490ff6c19f16d9591bd40,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-1c45da5bc44490ff6c19f16d9591bd40,42173,Soria,http://www.semanticweb.org/universidata/resource/municipio/soria,https://www.wikidata.org/wiki/Q12155,01904,Soria,Activo,2012-10-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55003330,"Didactica De Las Ciencias Experimentales, Sociales Y De La Matematica",https://www.wikidata.org/wiki/Q60778514,5642e99a4f589ab4814f48b937ea3041,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-5642e99a4f589ab4814f48b937ea3041,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2012-10-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001251,Ingenieria Electrica,https://www.wikidata.org/wiki/Q60779601,196d787759936e761e3a529c9086f805,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-196d787759936e761e3a529c9086f805,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
2020-21,019,Universidad De Valladolid,http://www.semanticweb.org/universidata/resource/universidad/universidad-de-valladolid,https://www.wikidata.org/wiki/Q768224,55001244,Historia Antigua Y Medieval,https://www.wikidata.org/wiki/Q60779414,8905723b81756db0bb51effa51e5c834,http://www.semanticweb.org/universidata/resource/muestra-departamento/UVA-8905723b81756db0bb51effa51e5c834,47186,Valladolid,http://www.semanticweb.org/universidata/resource/municipio/valladolid,https://www.wikidata.org/wiki/Q8356,01901,Valladolid,Activo,2004-01-01
