cod_universidad,des_universidad,URI_universidad,wikidata_universidad,anio,cod_unidad_responsable,des_unidad_responsable,des_genero,id_empleado_b2,cod_pais_nacionalidad,des_pais_nacionalidad,URI_pais_nacionalidad,wikidata_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,URI_continente_nacionalidad,wikidata_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,URI_agregacion_paises_nacionalidad,wikidata_agregacion_paises_nacionalidad,id_empleado_b3,anio_nacimiento,id_empleado_b4,des_tipo_personal_investigacion,des_modalidad_personal_investigacion,des_tipo_organismo,des_dedicacion,duracion_meses,id_empleado_b5,des_cuantia_titulo_doctorado,cod_pais_doctorado,des_pais_doctorado,URI_pais_doctorado,wikidata_pais_doctorado,lat_pais_doctorado,lon_pais_doctorado,cod_continente_doctorado,des_continente_doctorado,URI_continente_doctorado,wikidata_continente_doctorado,cod_agregacion_paises_doctorado,des_agregacion_paises_doctorado,URI_agregacion_paises_doctorado,wikidata_agregacion_paises_doctorado,cod_universidad_doctorado,des_universidad_doctorado,URI_universidad_doctorado,wikidata_universidad_doctorado,anio_lectura_tesis,id_empleado_b6,anio_resolucion_convocatoria,anio_incorporacion,id_empleado_b7,des_tipo_unidad_responsable,des_area
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,,,Mujer,URJC-1b5ccc8905a742b138c69729a6295d8a,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-40cfb2e4a5b0f2e2593f8cc845051734,1968,URJC-de67da7b3ea8ea48a43baad96955d6d7,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Empresa Nacional/internacional,Dedicacion A Tiempo Completo,30,URJC-e92c012a4c34806f8e8e316eff780a91,No,,,,,,,,,,,,,,,,,,,,URJC-4861f060d66104fcd6f4f0f3f23ec131,2016,2011,URJC-e9a53e338b8834bb7728c10ccb0e5737,Departamento,Botanica
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003687,"Matematica Aplicada, Ciencia E Ingenieria De Los Materiales Y Tecnologia Electronica",Mujer,URJC-458294f7af5daa2e8b46dc51749af30b,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-5387f02be1ed663bde81ca7c3d5ba33d,1990,URJC-40893ed712724d7a60937e32f5f10af7,"Investigador Con Cargo A Proyectos De Investigacion, Art. 83 Y A Grupos De Investigacion",Otro Investigador Postdoctoral (ya Sea En Formacion O En Contratacion),Empresa Nacional/internacional,Dedicacion A Tiempo Completo,27,URJC-58c4bced493c03bf48be53fba768213d,No,,,,,,,,,,,,,,,,,,,,URJC-1bdc9059245cbd3b7a909d51f21c39ba,2016,2016,URJC-b5197936a8e5ca71ac7f472f1967c0d5,Departamento,Ciencia De Los Materiales E Ingenieria Metalurgica
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003683,"Biologia Y Geologia, Fisica Y Quimica Inorganica",Hombre,URJC-bcfab73df3ccb965d908b1786ab270af,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-c44f62ab471014a2b8ace764680fbad9,1984,URJC-2563b7591f16b97e476c930bef30ac79,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Administracion Central,Dedicacion A Tiempo Completo,21,URJC-de02ffeadcde3fd824842d02ad58ac05,No,,,,,,,,,,,,,,,,,,,,URJC-7c3c6bf36ab32941cc40582938de7a54,2016,2016,URJC-276c2aa38074438468f07efc90bed581,Departamento,Ecologia
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003689,"Tecnologia Quimica Y Energetica, Tecnologia Quimica Y Ambiental, Y Tecnologia Mecanica Y Quimica Analitica",Mujer,URJC-a674c01f9a96fa47950978b26f88cd2c,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-a74e690255bfd6725f3a6150d76b2b14,1989,URJC-b8610091edee449d64d2ad974cbefc78,"Investigador Con Cargo A Proyectos De Investigacion, Art. 83 Y A Grupos De Investigacion",Otro Investigador Predoctoral (ya Sea En Formacion O En Contratacion),Organismo Europeo,Dedicacion A Tiempo Completo,33,URJC-2bd96b6c0de6c4d7eca7ec295504aa1f,No,,,,,,,,,,,,,,,,,,,,URJC-680eb96d4c979eae60d5e46674d103e3,2016,2011,URJC-ed8491dc8bf21dcecbaddb9ef31c6c99,Departamento,Quimica
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,,,Mujer,URJC-8ecf2c623ce57eff1ef2f7b26b4f7cea,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-903818ee7e5625c5a7e5027739fcfb36,1991,URJC-01ad1d7e5737f958d30fb4cdf461b21e,"Investigador De Convocatorias Publicas Competitivas De Ambito Universitario, Local, Autonomico, Estatal O Internacional",Formacion De Profesorado Universitario (fpu),Administracion Central,Dedicacion A Tiempo Completo,24,URJC-77e6b8de2e85f1e5e35b6629373d0c4c,No,,,,,,,,,,,,,,,,,,,,URJC-79b9a7850ca98adf24acadedaf071831,2016,2011,URJC-d5dfdf3157d868335bec949b478efea9,Departamento,
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,55003689,"Tecnologia Quimica Y Energetica, Tecnologia Quimica Y Ambiental, Y Tecnologia Mecanica Y Quimica Analitica",Mujer,URJC-7415f75ed908900a79022b9add4fe13f,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-7dca6bc2deee8e1251a084461f9219bb,1989,URJC-08ef13f6032f0cf2afe6402d5305baa1,"Investigador De Convocatorias Publicas Competitivas De Ambito Universitario, Local, Autonomico, Estatal O Internacional",Otro Investigador Predoctoral (ya Sea En Formacion O En Contratacion),Administracion Central,Dedicacion A Tiempo Completo,25,URJC-8029146ed12620516203aeecf270eeba,No,,,,,,,,,,,,,,,,,,,,URJC-77ab51c117c95ca6903ef655a1bd9415,2016,2001,URJC-1e8b2c7d3d244fd7149a47e5b32519e9,Departamento,Quimica
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,,,Mujer,URJC-fa026a062347cc72ef53ec345889f115,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-8142333b3f5a21a876d665ee7fff786f,1980,URJC-95d8cad76b047e29e6fe782cc6d3ec1b,"Investigador De Convocatorias Publicas Competitivas De Ambito Universitario, Local, Autonomico, Estatal O Internacional",Formacion De Personal Investigador (fpi),Administracion Central,Dedicacion A Tiempo Completo,36,URJC-9b66cebce171d6f7ee0d304666c30122,No,,,,,,,,,,,,,,,,,,,,URJC-45b4ee8ff5610e1358acffc910b30a6b,2016,2015,URJC-7ae6d6bca8be5e6d090cba990ee5ddfd,Departamento,Psicologia
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,,,Hombre,URJC-7e3686af25755ec403537ddc5470ec5a,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-169f83dcfc011d308839b8c451d7e701,1991,URJC-e3bdcc7dee84dc9055747cfe0a96df45,Personal Tecnico De Apoyo A La Investigacion,Personal Tecnico De Apoyo,Administracion Autonomica,Dedicacion A Tiempo Completo,24,URJC-65f82ea27a72c17b1bf054a1212a2558,No,,,,,,,,,,,,,,,,,,,,URJC-8d0746b53c3702227f8e15a6915ba3a6,2016,2016,URJC-dc641631286850e9c5c34722ba033727,Departamento,Economia
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,28052741,Centro De Apoyo Tecnologico,Hombre,URJC-c5c1c1d630447288a8f49bfe07241fd4,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-42005c33cad998df8de2ad5f5ef3122b,1989,URJC-bda5a5181e6100da88bf9e7b49be489c,"Investigador Con Cargo A Proyectos De Investigacion, Art. 83 Y A Grupos De Investigacion",Otro Investigador Predoctoral (ya Sea En Formacion O En Contratacion),Administracion Central,Dedicacion A Tiempo Completo,30,URJC-32dad5bed0cd0945f3798aac71568b6e,No,,,,,,,,,,,,,,,,,,,,URJC-d62b8baf413f30c99400036792b8d467,2016,2016,URJC-4d2868e0b93f3b8d47feb5e40584dee2,Otro Tipo De Unidad,
056,Universidad Rey Juan Carlos,http://www.semanticweb.org/universidata/resource/universidad/universidad-rey-juan-carlos,https://www.wikidata.org/wiki/Q2000629,2017,,,Mujer,URJC-318db3bdb2fdb67b65807827d73e1cf7,724,Espana,http://www.semanticweb.org/universidata/resource/pais/espana,https://www.wikidata.org/wiki/Q29,40.463667,-3.74922,150,Europa,http://www.semanticweb.org/universidata/resource/continente/europa,https://www.wikidata.org/wiki/Q46,039,Europa Meridional,http://www.semanticweb.org/universidata/resource/agregacion-paises/europa-meridional,https://www.wikidata.org/wiki/Q27449,URJC-b53fc43f0159a5cc407fc90f77bc27f8,1988,URJC-1bbef520a7079703d34a3b9656254789,"Investigador De Convocatorias Publicas Competitivas De Ambito Universitario, Local, Autonomico, Estatal O Internacional",Otro Investigador Predoctoral (ya Sea En Formacion O En Contratacion),Administracion Central,Dedicacion A Tiempo Parcial,24,URJC-cf292f44ffaa42fadf097f79159f1618,No,,,,,,,,,,,,,,,,,,,,URJC-faf074dfe77b66a1c1bcd535a51c79c3,2016,2015,URJC-3553680d63c75972fea16ee77b338cd4,Departamento,Fisioterapia
