"curso_academico","cod_universidad","des_universidad","cod_centro","des_centro","cod_municipio","des_municipio","cod_campus","des_campus","cod_tipo_centro","des_tipo_centro","cod_naturaleza_centro","des_naturaleza_centro","cod_situacion_centro","des_situacion_centro","fecha_desde_situacion_centro","latitude","longitude"
"2019-20","010","Universidad Complutense de Madrid","28054506","Escuela de Especialización Profesional de Medicina Legal y Forense","28079","MADRID","01001","Ciudad Universitaria","XX","Otros","1","Público","1","Activo","19000101","40.444284","-3.724132"
"2019-20","010","Universidad Complutense de Madrid","28054518","Hospital Clínico Veterinario Complutense","28079","MADRID","01001","Ciudad Universitaria","O3","Hospital","1","Público","1","Activo","19000101","40.449472","-3.740580"
"2019-20","010","Universidad Complutense de Madrid","28054521","Centro Superior de Estudios de Gestión, Análisis y Evaluación","28115","POZUELO DE ALARCÓN","01002","Somosaguas","XX","Otros","1","Público","1","Activo","19000101","40.429753","-3.791208"
"2019-20","010","Universidad Complutense de Madrid","28054531","Instituto Universitario de Análisis Económico","28115","POZUELO DE ALARCÓN","01002","Somosaguas","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.433794","-3.793322"
"2019-20","010","Universidad Complutense de Madrid","28054543","Instituto Universitario de Análisis Industrial y Financiero","28115","POZUELO DE ALARCÓN","01002","Somosaguas","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.433629","-3.789412"
"2019-20","010","Universidad Complutense de Madrid","28053666","Instituto Universitario de Ciencias de la Administración","28115","POZUELO DE ALARCÓN","01002","Somosaguas","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.430064","-3.789469"
"2019-20","010","Universidad Complutense de Madrid","28054555","Instituto Universitario de Ciencias Matemáticas","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.549618","-3.687300"
"2019-20","010","Universidad Complutense de Madrid","28054567","Instituto Universitario de Criminología","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.450828","-3.730783"
"2019-20","010","Universidad Complutense de Madrid","28054579","Instituto Universitario de Derecho Comparado","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.450828","-3.730783"
"2019-20","010","Universidad Complutense de Madrid","28054580","Instituto Universitario de Derecho Europeo e Integración Regional","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.450828","-3.730783"
"2019-20","010","Universidad Complutense de Madrid","28054592","Instituto Universitario de Derecho Parlamentario","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.450828","-3.730783"
"2019-20","010","Universidad Complutense de Madrid","28054609","Instituto Universitario de Derechos Humanos","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.450828","-3.730783"
"2019-20","010","Universidad Complutense de Madrid","28054610","Instituto Universitario de Desarrollo y Cooperación","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.436514","-3.714793"
"2019-20","010","Universidad Complutense de Madrid","28054622","Instituto Universitario de Embriología","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.444226","-3.724100"
"2019-20","010","Universidad Complutense de Madrid","28054634","Instituto Universitario de Estudios Internacionales","28115","POZUELO DE ALARCÓN","01002","Somosaguas","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.430080","-3.790518"
"2019-20","010","Universidad Complutense de Madrid","28054646","Instituto Universitario de Estudios Políticos para América Latina y África","28115","POZUELO DE ALARCÓN","01002","Somosaguas","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.431899","-3.632945"
"2019-20","010","Universidad Complutense de Madrid","28053459","Instituto Universitario de Farmacia Industrial","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.445252","-3.726327"
"2019-20","010","Universidad Complutense de Madrid","28054658","Instituto Universitario de Estudios Jurídicos Críticos","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.450030","-3.732959"
"2019-20","010","Universidad Complutense de Madrid","28054661","Instituto Universitario de Investigación en Neuroquímica","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.444062","-3.724098"
"2019-20","010","Universidad Complutense de Madrid","28054671","Instituto Universitario de Lenguas Modernas y Traductores","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.448735","-3.730554"
"2019-20","010","Universidad Complutense de Madrid","28054683","Instituto Universitario de Mediación y Gestión de Conflictos","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.437513","-3.718244"
"2019-20","010","Universidad Complutense de Madrid","28054695","Instituto Universitario de Metodología e Historia de las Ciencias Jurídicas","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.450736","-3.730801"
"2019-20","010","Universidad Complutense de Madrid","28053678","Instituto Universitario del Teatro de Madrid","28079","MADRID","01001","Ciudad Universitaria","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.448774","-3.730520"
"2019-20","010","Universidad Complutense de Madrid","28054701","Instituto Universitario de Tecnología del Conocimiento","28115","POZUELO DE ALARCÓN","01002","Somosaguas","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.432103","-3.793074"
"2019-20","010","Universidad Complutense de Madrid","28054713","Instituto Universitario de Transformaciones Sociales","28115","POZUELO DE ALARCÓN","01002","Somosaguas","O1","Instituto universitario de investigación","1","Público","1","Activo","19000101","40.425100","-3.707690"
"2019-20","010","Universidad Complutense de Madrid","28053721","Escuela de Doctorado de la Universidad Complutense de Madrid  ","28079","MADRID","01001","Ciudad Universitaria","O2","Escuela de doctorado","1","Público","1","Activo","19000101","40.443600","-3.728299"
"2019-20","010","Universidad Complutense de Madrid","28054774","Centro Complutense para la Enseñanza del Español","28079","MADRID","01001","Ciudad Universitaria","XX","Otros","1","Público","1","Activo","19000101","40.448742","-3.730495"
"2019-20","010","Universidad Complutense de Madrid","28054786","Centro Superior de Idiomas Modernos","28079","MADRID","01001","Ciudad Universitaria","XX","Otros","1","Público","1","Activo","19000101","40.450008","-3.732957"
"2019-20","010","Universidad Complutense de Madrid","28054798","Centro de Donación de Cuerpos y Salas de Disección","28079","MADRID","01001","Ciudad Universitaria","XX","Otros","1","Público","1","Activo","19000101","40.444042","-3.724091"
"2019-20","010","Universidad Complutense de Madrid","28054804","Fundación General de la Universidad Complutense de Madrid","28079","MADRID","01001","Ciudad Universitaria","O4","Fundación","1","Público","1","Activo","19000101","40.443316","-3.723540"
